"","Gene","variant.counts","pos.variant.counts","neg.variant.counts"
"3362","P51159",12,11,1
"3363","P51160",16,11,5
"3364","P51164",3,0,3
"3365","P51168",24,18,6
"3366","P51170",4,3,1
"3367","P51397",3,0,3
"3368","P51398",3,0,3
"3369","P51449",4,1,3
"3370","P51451",7,0,7
"3371","P51504",2,0,2
"3372","P51508",3,1,2
"3373","P51511",6,0,6
"3374","P51522",5,0,5
"3375","P51530",15,6,9
"3376","P51531",61,56,5
"3377","P51532",15,14,1
"3378","P51553",1,0,1
"3379","P51570",23,20,3
"3380","P51572",1,0,1
"3381","P51575",4,0,4
"3382","P51580",9,5,4
"3383","P51582",3,0,3
"3384","P51587",119,115,4
"3385","P51589",4,0,4
"3386","P51606",3,0,3
"3387","P51610",11,5,6
"3388","P51617",3,0,3
"3389","P51636",2,0,2
"3390","P51659",3,0,3
"3391","P51665",1,0,1
"3392","P51679",2,0,2
"3393","P51681",2,0,2
"3394","P51684",2,0,2
"3395","P51685",1,0,1
"3396","P51686",1,0,1
"3397","P51687",21,16,5
"3398","P51688",89,73,16
"3399","P51689",6,0,6
"3400","P51690",9,0,9
"3401","P51692",4,2,2
"3402","P51784",4,1,3
"3403","P51787",352,329,23
"3404","P51788",21,11,10
"3405","P51793",13,12,1
"3406","P51795",57,54,3
"3407","P51797",1,1,0
"3408","P51798",46,42,4
"3409","P51800",7,1,6
"3410","P51801",34,33,1
"3411","P51810",40,39,1
"3412","P51811",3,3,0
"3413","P51812",58,52,6
"3414","P51813",3,0,3
"3415","P51816",8,1,7
"3416","P51817",3,0,3
"3417","P51828",5,0,5
"3418","P51841",10,0,10
"3419","P51843",37,36,1
"3420","P51854",2,0,2
"3421","P51857",7,5,2
"3422","P51858",1,0,1
"3423","P51861",5,0,5
"3424","P51888",3,0,3
"3425","P51911",3,0,3
"3426","P51946",3,0,3
"3427","P51955",4,0,4
"3428","P51957",4,0,4
"3429","P51959",1,0,1
"3430","P51970",2,2,0
"3431","P51993",8,1,7
"3432","P52179",11,1,10
"3433","P52198",2,0,2
"3434","P52209",2,0,2
"3435","P52272",1,0,1
"3436","P52333",25,19,6
"3437","P52429",4,3,1
"3438","P52566",1,0,1
"3439","P52630",1,0,1
"3440","P52701",59,52,7
"3441","P52732",10,7,3
"3442","P52737",6,0,6
"3443","P52738",3,0,3
"3444","P52740",7,0,7
"3445","P52741",6,0,6
"3446","P52746",17,2,15
"3447","P52747",1,0,1
"3448","P52756",2,0,2
"3449","P52757",1,0,1
"3450","P52758",1,0,1
"3451","P52788",11,10,1
"3452","P52789",4,1,3
"3453","P52790",6,0,6
"3454","P52824",6,0,6
"3455","P52848",4,4,0
"3456","P52849",1,0,1
"3457","P52888",8,0,8
"3458","P52895",5,4,1
"3459","P52907",2,0,2
"3460","P52945",10,7,3
"3461","P52952",49,47,2
"3462","P52961",4,0,4
"3463","P53004",1,0,1
"3464","P53007",12,9,3
"3465","P53041",2,0,2
"3466","P53355",5,0,5
"3467","P53367",2,0,2
"3468","P53370",4,0,4
"3469","P53384",2,0,2
"3470","P53396",3,0,3
"3471","P53420",73,67,6
"3472","P53539",1,0,1
"3473","P53567",1,0,1
"3474","P53597",16,14,2
"3475","P53602",8,3,5
"3476","P53609",2,0,2
"3477","P53634",42,40,2
"3478","P53667",3,0,3
"3479","P53671",3,0,3
"3480","P53672",2,0,2
"3481","P53673",4,3,1
"3482","P53674",5,3,2
"3483","P53675",16,1,15
"3484","P53701",4,2,2
"3485","P53708",1,1,0
"3486","P53778",3,0,3
"3487","P53794",2,0,2
"3488","P53801",2,0,2
"3489","P53804",16,0,16
"3490","P53805",1,0,1
"3491","P53816",1,0,1
"3492","P53985",6,2,4
"3493","P53992",4,0,4
"3494","P54098",189,170,19
"3495","P54105",2,0,2
"3496","P54107",5,0,5
"3497","P54132",33,15,18
"3498","P54136",5,5,0
"3499","P54198",1,0,1
"3500","P54219",6,0,6
"3501","P54253",3,0,3
"3502","P54259",33,0,33
"3503","P54274",4,0,4
"3504","P54277",3,0,3
"3505","P54278",15,13,2
"3506","P54296",18,0,18
"3507","P54315",10,0,10
"3508","P54368",2,0,2
"3509","P54577",5,3,2
"3510","P54578",1,0,1
"3511","P54709",3,0,3
"3512","P54710",1,1,0
"3513","P54725",2,0,2
"3514","P54727",4,0,4
"3515","P54753",2,0,2
"3516","P54756",2,0,2
"3517","P54760",18,12,6
"3518","P54762",2,0,2
"3519","P54764",4,1,3
"3520","P54793",19,0,19
"3521","P54802",86,81,5
"3522","P54803",73,68,5
"3523","P54819",7,5,2
"3524","P54821",3,3,0
"3525","P54826",2,2,0
"3526","P54829",6,0,6
"3527","P54840",16,13,3
"3528","P54845",12,9,3
"3529","P54851",3,2,1
"3530","P54868",22,15,7
"3531","P54886",22,19,3
"3532","P54920",2,0,2
"3533","P54922",4,0,4
"3534","P55000",9,9,0
"3535","P55010",3,0,3
"3536","P55011",3,0,3
"3537","P55036",3,0,3
"3538","P55040",2,0,2
"3539","P55058",2,0,2
"3540","P55064",6,5,1
"3541","P55072",33,30,3
"3542","P55084",33,30,3
"3543","P55085",3,0,3
"3544","P55087",4,2,2
"3545","P55089",2,0,2
"3546","P55103",4,0,4
"3547","P55157",6,0,6
"3548","P55160",2,0,2
"3549","P55199",1,0,1
"3550","P55211",7,0,7
"3551","P55212",4,0,4
"3552","P55263",7,5,2
"3553","P55265",69,63,6
"3554","P55268",15,10,5
"3555","P55283",6,1,5
"3556","P55286",2,0,2
"3557","P55287",3,0,3
"3558","P55289",8,0,8
"3559","P55291",6,2,4
"3560","P55316",40,38,2
"3561","P55317",2,0,2
"3562","P55318",2,0,2
"3563","P55327",1,0,1
"3564","P55347",1,0,1
"3565","P55735",1,0,1
"3566","P55771",16,13,3
"3567","P55774",3,0,3
"3568","P55786",2,0,2
"3569","P55789",3,3,0
"3570","P55795",7,5,2
"3571","P55809",19,15,4
"3572","P55822",3,0,3
"3573","P55851",9,3,6
"3574","P55854",1,0,1
"3575","P55884",3,0,3
"3576","P55895",42,33,9
"3577","P55899",1,0,1
"3578","P55916",5,3,2
"3579","P56159",1,0,1
"3580","P56178",2,1,1
"3581","P56182",7,0,7
"3582","P56192",8,0,8
"3583","P56199",3,0,3
"3584","P56279",2,0,2
"3585","P56282",3,0,3
"3586","P56373",5,0,5
"3587","P56381",2,1,1
"3588","P56385",1,0,1
"3589","P56524",4,1,3
"3590","P56539",36,31,5
"3591","P56555",1,0,1
"3592","P56589",4,2,2
"3593","P56645",23,0,23
"3594","P56693",30,26,4
"3595","P56696",18,16,2
"3596","P56703",1,0,1
"3597","P56704",2,0,2
"3598","P56705",5,4,1
"3599","P56706",1,1,0
"3600","P56715",40,10,30
"3601","P56730",4,0,4
"3602","P56746",1,0,1
"3603","P56747",2,0,2
"3604","P56748",1,0,1
"3605","P56749",3,0,3
"3606","P56750",3,0,3
"3607","P56851",1,0,1
"3608","P56880",1,0,1
"3609","P56915",1,0,1
"3610","P56962",1,0,1
"3611","P57052",1,0,1
"3612","P57054",3,1,2
"3613","P57055",5,0,5
"3614","P57057",7,0,7
"3615","P57058",3,0,3
"3616","P57059",6,2,4
"3617","P57060",3,0,3
"3618","P57071",7,1,6
"3619","P57081",7,1,6
"3620","P57082",3,0,3
"3621","P57103",2,0,2
"3622","P57678",12,0,12
"3623","P57679",16,4,12
"3624","P57682",1,0,1
"3625","P57723",3,0,3
"3626","P57727",23,21,2
"3627","P57729",2,0,2
"3628","P57735",1,0,1
"3629","P57738",1,0,1
"3630","P57740",10,5,5
"3631","P57764",3,0,3
"3632","P57768",2,0,2
"3633","P57772",4,0,4
"3634","P57773",6,0,6
"3635","P57775",3,0,3
"3636","P57796",1,1,0
"3637","P58004",2,0,2
"3638","P58012",32,31,1
"3639","P58062",2,0,2
"3640","P58166",1,0,1
"3641","P58170",5,0,5
"3642","P58173",8,0,8
"3643","P58180",12,0,12
"3644","P58181",6,0,6
"3645","P58182",9,0,9
"3646","P58215",3,0,3
"3647","P58294",4,0,4
"3648","P58304",6,6,0
"3649","P58317",2,0,2
"3650","P58335",20,15,5
"3651","P58340",1,0,1
"3652","P58397",26,0,26
"3653","P58499",1,0,1
"3654","P58505",3,0,3
"3655","P58557",2,0,2
"3656","P58658",1,0,1
"3657","P58743",5,0,5
"3658","P58872",1,0,1
"3659","P59044",9,0,9
"3660","P59045",5,0,5
"3661","P59047",14,0,14
"3662","P59534",4,0,4
"3663","P59535",3,0,3
"3664","P59536",3,0,3
"3665","P59538",1,0,1
"3666","P59540",3,0,3
"3667","P59542",1,0,1
"3668","P59543",5,0,5
"3669","P59544",4,0,4
"3670","P59551",2,0,2
"3671","P59646",1,0,1
"3672","P59817",10,0,10
"3673","P59827",9,0,9
"3674","P59901",8,0,8
"3675","P59910",1,1,0
"3676","P59923",5,0,5
"3677","P59942",3,0,3
"3678","P59990",2,0,2
"3679","P59991",3,0,3
"3680","P60014",6,0,6
"3681","P60153",2,0,2
"3682","P60174",2,0,2
"3683","P60201",103,97,6
"3684","P60321",1,0,1
"3685","P60328",1,0,1
"3686","P60329",1,0,1
"3687","P60331",6,0,6
"3688","P60368",4,0,4
"3689","P60369",6,0,6
"3690","P60370",6,0,6
"3691","P60371",1,0,1
"3692","P60372",5,0,5
"3693","P60410",10,0,10
"3694","P60411",6,0,6
"3695","P60412",10,0,10
"3696","P60413",2,0,2
"3697","P60508",1,0,1
"3698","P60673",1,0,1
"3699","P60709",56,49,7
"3700","P60827",2,0,2
"3701","P60852",8,0,8
"3702","P60880",3,3,0
"3703","P60891",29,27,2
"3704","P60900",1,0,1
"3705","P60953",13,12,1
"3706","P60981",1,0,1
"3707","P61011",1,1,0
"3708","P61018",1,0,1
"3709","P61129",5,0,5
"3710","P61158",3,0,3
"3711","P61224",1,0,1
"3712","P61244",9,9,0
"3713","P61266",7,5,2
"3714","P61296",1,0,1
"3715","P61313",1,1,0
"3716","P61353",1,0,1
"3717","P61366",2,0,2
"3718","P61457",3,3,0
"3719","P61619",3,3,0
"3720","P61626",8,6,2
"3721","P61647",5,0,5
"3722","P61769",2,2,0
"3723","P61803",1,0,1
"3724","P61952",1,0,1
"3725","P61968",2,0,2
"3726","P61981",1,1,0
"3727","P62070",1,1,0
"3728","P62079",1,0,1
"3729","P62140",1,1,0
"3730","P62166",2,1,1
"3731","P62241",4,0,4
"3732","P62258",3,0,3
"3733","P62266",2,2,0
"3734","P62280",1,0,1
"3735","P62304",1,1,0
"3736","P62330",3,0,3
"3737","P62424",1,0,1
"3738","P62495",1,0,1
"3739","P62736",46,38,8
"3740","P62745",1,0,1
"3741","P62750",2,0,2
"3742","P62753",1,0,1
"3743","P62805",3,0,3
"3744","P62807",2,0,2
"3745","P62851",1,0,1
"3746","P62854",1,1,0
"3747","P62873",16,14,2
"3748","P62879",1,0,1
"3749","P62906",3,0,3
"3750","P62910",1,0,1
"3751","P62913",1,1,0
"3752","P62942",1,0,1
"3753","P62979",1,0,1
"3754","P63162",1,0,1
"3755","P63252",64,62,2
"3756","P63261",38,33,5
"3757","P63267",20,18,2
"3758","P63316",15,13,2
"3759","P67775",7,7,0
"3760","P67809",3,0,3
"3761","P67870",1,1,0
"3762","P68032",30,28,2
"3763","P68104",2,0,2
"3764","P68133",197,188,9
"3765","P68363",1,0,1
"3766","P68366",6,5,1
"3767","P68371",2,2,0
"3768","P68400",3,3,0
"3769","P68431",6,0,6
"3770","P68543",2,0,2
"3771","P68871",159,147,12
"3772","P69849",2,0,2
"3773","P69892",12,12,0
"3774","P69905",159,144,15
"3775","P78316",7,0,7
"3776","P78317",1,0,1
"3777","P78318",1,0,1
"3778","P78324",5,0,5
"3779","P78325",5,0,5
"3780","P78329",3,0,3
"3781","P78330",4,2,2
"3782","P78332",3,0,3
"3783","P78333",9,0,9
"3784","P78334",2,0,2
"3785","P78337",3,3,0
"3786","P78345",4,0,4
"3787","P78347",1,0,1
"3788","P78356",1,0,1
"3789","P78357",11,5,6
"3790","P78363",437,394,43
"3791","P78364",5,1,4
"3792","P78367",1,1,0
"3793","P78368",4,0,4
"3794","P78369",3,2,1
"3795","P78371",4,0,4
"3796","P78380",3,0,3
"3797","P78382",5,0,5
"3798","P78383",1,0,1
"3799","P78385",5,2,3
"3800","P78386",2,0,2
"3801","P78395",4,0,4
"3802","P78396",2,0,2
"3803","P78410",2,0,2
"3804","P78411",3,2,1
"3805","P78412",2,0,2
"3806","P78413",3,0,3
"3807","P78414",1,0,1
"3808","P78415",2,0,2
"3809","P78417",2,0,2
"3810","P78424",3,0,3
"3811","P78426",1,0,1
"3812","P78504",101,89,12
"3813","P78508",18,16,2
"3814","P78509",9,8,1
"3815","P78524",5,0,5
"3816","P78527",3,3,0
"3817","P78536",3,0,3
"3818","P78539",2,0,2
"3819","P78540",4,0,4
"3820","P78543",3,0,3
"3821","P78545",2,0,2
"3822","P78549",2,0,2
"3823","P78559",16,0,16
"3824","P78560",2,2,0
"3825","P78562",123,116,7
"3826","P78563",2,0,2
"3827","P79522",1,0,1
"3828","P80075",1,0,1
"3829","P80108",12,0,12
"3830","P80294",2,0,2
"3831","P80297",1,0,1
"3832","P80365",22,20,2
"3833","P80404",11,7,4
"3834","P80723",1,0,1
"3835","P81133",9,0,9
"3836","P81172",5,3,2
"3837","P81274",3,0,3
"3838","P81408",3,0,3
"3839","P81605",1,0,1
"3840","P82094",5,0,5
"3841","P82251",56,48,8
"3842","P82279",135,116,19
"3843","P82650",11,3,8
"3844","P82663",1,0,1
"3845","P82664",4,0,4
"3846","P82673",4,0,4
"3847","P82675",1,0,1
"3848","P82912",2,0,2
"3849","P82914",2,0,2
"3850","P82921",1,0,1
"3851","P82970",1,0,1
"3852","P82987",10,0,10
"3853","P83105",4,0,4
"3854","P83111",1,0,1
"3855","P83436",6,0,6
"3856","P83859",4,0,4
"3857","P84022",20,18,2
"3858","P84074",3,3,0
"3859","P84077",3,2,1
"3860","P84098",3,0,3
"3861","P84243",2,2,0
"3862","P85037",3,0,3
"3863","P86397",1,0,1
"3864","P86452",2,0,2
"3865","P86790",2,0,2
"3866","P98066",3,0,3
"3867","P98077",3,0,3
"3868","P98082",7,0,7
"3869","P98153",3,0,3
"3870","P98155",9,2,7
"3871","P98160",58,8,50
"3872","P98161",168,155,13
"3873","P98164",32,1,31
"3874","P98168",4,0,4
"3875","P98169",1,0,1
"3876","P98170",4,3,1
"3877","P98171",3,0,3
"3878","P98172",39,39,0
"3879","P98174",20,16,4
"3880","P98177",1,0,1
"3881","P98182",2,0,2
"3882","P99999",1,1,0
"3883","Q00056",3,2,1
"3884","Q00059",2,0,2
"3885","Q00266",34,32,2
"3886","Q00325",1,1,0
"3887","Q00403",2,0,2
"3888","Q00444",3,0,3
"3889","Q00534",3,1,2
"3890","Q00577",24,21,3
"3891","Q00587",6,0,6
"3892","Q00597",8,3,5
"3893","Q00604",71,68,3
"3894","Q00653",3,1,2
"3895","Q00722",3,0,3
"3896","Q00765",1,0,1
"3897","Q00796",1,0,1
"3898","Q00839",2,2,0
"3899","Q00887",1,0,1
"3900","Q00888",1,0,1
"3901","Q008S8",9,0,9
"3902","Q00973",3,2,1
"3903","Q00978",2,0,2
"3904","Q00G26",9,0,9
"3905","Q00LT1",3,2,1
"3906","Q01064",1,0,1
"3907","Q01081",2,2,0
"3908","Q01082",7,0,7
"3909","Q01105",1,1,0
"3910","Q01113",1,0,1
"3911","Q01118",19,0,19
"3912","Q01167",5,0,5
"3913","Q01344",5,0,5
"3914","Q01362",3,0,3
"3915","Q01415",4,0,4
"3916","Q01433",9,7,2
"3917","Q01449",2,0,2
"3918","Q01453",45,42,3
"3919","Q01459",1,0,1
"3920","Q01484",22,11,11
"3921","Q01523",1,0,1
"3922","Q01524",3,0,3
"3923","Q01538",5,1,4
"3924","Q01543",7,7,0
"3925","Q01546",11,0,11
"3926","Q01581",3,0,3
"3927","Q01628",2,0,2
"3928","Q01629",2,0,2
"3929","Q01638",3,0,3
"3930","Q01650",2,0,2
"3931","Q01664",1,0,1
"3932","Q01718",39,30,9
"3933","Q01726",13,12,1
"3934","Q01740",4,0,4
"3935","Q01780",10,0,10
"3936","Q01813",2,0,2
"3937","Q01814",6,1,5
"3938","Q01826",1,0,1
"3939","Q01831",10,3,7
"3940","Q01850",1,0,1
"3941","Q01860",4,0,4
"3942","Q01892",1,0,1
"3943","Q01954",8,1,7
"3944","Q01955",101,76,25
"3945","Q01959",11,11,0
"3946","Q01968",74,71,3
"3947","Q01970",2,0,2
"3948","Q01973",4,1,3
"3949","Q01974",29,10,19
"3950","Q02040",4,0,4
"3951","Q02045",1,0,1
"3952","Q02083",2,0,2
"3953","Q02086",3,0,3
"3954","Q02094",16,7,9
"3955","Q02108",2,0,2
"3956","Q02127",16,12,4
"3957","Q02153",1,0,1
"3958","Q02156",2,0,2
"3959","Q02221",2,2,0
"3960","Q02223",2,0,2
"3961","Q02224",34,2,32
"3962","Q02241",5,1,4
"3963","Q02246",9,0,9
"3964","Q02252",7,3,4
"3965","Q02318",33,31,2
"3966","Q02325",1,0,1
"3967","Q02338",6,0,6
"3968","Q02383",13,0,13
"3969","Q02386",4,0,4
"3970","Q02388",331,288,43
"3971","Q02410",2,0,2
"3972","Q02413",13,2,11
"3973","Q02446",3,0,3
"3974","Q02447",2,0,2
"3975","Q02487",22,15,7
"3976","Q02539",3,0,3
"3977","Q02548",3,1,2
"3978","Q02556",4,2,2
"3979","Q02575",1,0,1
"3980","Q02641",2,0,2
"3981","Q02643",11,11,0
"3982","Q02750",11,11,0
"3983","Q02763",10,10,0
"3984","Q02779",2,0,2
"3985","Q02790",2,0,2
"3986","Q02809",11,6,5
"3987","Q02818",1,0,1
"3988","Q02833",3,0,3
"3989","Q02846",87,78,9
"3990","Q02880",1,1,0
"3991","Q02928",3,0,3
"3992","Q02952",24,0,24
"3993","Q02978",3,3,0
"3994","Q03014",2,0,2
"3995","Q03052",1,0,1
"3996","Q03154",6,4,2
"3997","Q03167",6,2,4
"3998","Q03169",2,0,2
"3999","Q03181",1,0,1
"4000","Q03188",7,0,7
"4001","Q03252",3,3,0
"4002","Q03393",63,60,3
"4003","Q03395",1,1,0
"4004","Q03405",2,0,2
"4005","Q03426",80,74,6
"4006","Q03431",10,7,3
"4007","Q03468",24,14,10
"4008","Q03692",28,21,7
"4009","Q03701",7,0,7
"4010","Q03721",1,0,1
"4011","Q03828",2,0,2
"4012","Q03924",1,0,1
"4013","Q03933",1,0,1
"4014","Q03936",6,0,6
"4015","Q03938",5,0,5
"4016","Q03989",5,0,5
"4017","Q04206",3,1,2
"4018","Q04446",23,22,1
"4019","Q04656",70,66,4
"4020","Q04671",102,86,16
"4021","Q04695",16,16,0
"4022","Q04721",17,8,9
"4023","Q04724",3,0,3
"4024","Q04725",5,0,5
"4025","Q04743",1,1,0
"4026","Q04756",2,0,2
"4027","Q04759",3,0,3
"4028","Q04760",1,0,1
"4029","Q04771",12,11,1
"4030","Q04837",1,1,0
"4031","Q04844",36,33,3
"4032","Q04864",1,0,1
"4033","Q04900",1,0,1
"4034","Q04912",1,1,0
"4035","Q04917",2,0,2
"4036","Q05066",54,51,3
"4037","Q05084",2,0,2
"4038","Q05086",32,29,3
"4039","Q05193",18,16,2
"4040","Q05195",2,0,2
"4041","Q05209",9,0,9
"4042","Q05329",2,0,2
"4043","Q05469",11,0,11
"4044","Q05481",4,0,4
"4045","Q05513",1,0,1
"4046","Q05516",2,1,1
"4047","Q05519",4,0,4
"4048","Q05639",9,8,1
"4049","Q05655",3,0,3
"4050","Q05682",3,0,3
"4051","Q05707",14,0,14
"4052","Q05823",3,0,3
"4053","Q05901",4,0,4
"4054","Q05923",1,0,1
"4055","Q05932",3,0,3
"4056","Q05940",5,2,3
"4057","Q05952",3,0,3
"4058","Q05996",10,0,10
"4059","Q05BQ5",1,0,1
"4060","Q05D60",3,0,3
"4061","Q05DH4",7,0,7
"4062","Q06033",10,0,10
"4063","Q06136",3,1,2
"4064","Q06141",2,0,2
"4065","Q06187",1,0,1
"4066","Q06190",5,0,5
"4067","Q06210",11,10,1
"4068","Q06278",16,0,16
"4069","Q06330",6,6,0
"4070","Q06416",3,0,3
"4071","Q06418",2,0,2
"4072","Q06432",2,0,2
"4073","Q06495",13,7,6
"4074","Q06520",3,0,3
"4075","Q06643",1,0,1
"4076","Q06710",15,13,2
"4077","Q06732",3,0,3
"4078","Q06787",6,3,3
"4079","Q06830",2,0,2
"4080","Q06945",3,2,1
"4081","Q07001",16,10,6
"4082","Q07011",4,0,4
"4083","Q07021",4,2,2
"4084","Q07075",6,0,6
"4085","Q07092",6,0,6
"4086","Q07108",1,0,1
"4087","Q07157",9,0,9
"4088","Q07283",47,0,47
"4089","Q07326",3,0,3
"4090","Q07343",3,0,3
"4091","Q07507",2,1,1
"4092","Q075Z2",2,0,2
"4093","Q07617",6,0,6
"4094","Q07627",1,0,1
"4095","Q07666",1,1,0
"4096","Q07687",2,0,2
"4097","Q07820",2,0,2
"4098","Q07837",94,79,15
"4099","Q07864",19,3,16
"4100","Q07869",4,0,4
"4101","Q07889",49,45,4
"4102","Q07890",13,6,7
"4103","Q07954",14,1,13
"4104","Q07960",2,0,2
"4105","Q07973",15,6,9
"4106","Q08050",7,0,7
"4107","Q08116",1,0,1
"4108","Q08170",7,0,7
"4109","Q08188",6,0,6
"4110","Q08209",4,4,0
"4111","Q08257",6,0,6
"4112","Q08289",13,9,4
"4113","Q08357",18,14,4
"4114","Q08378",16,0,16
"4115","Q08379",3,0,3
"4116","Q08380",6,0,6
"4117","Q08397",1,0,1
"4118","Q08426",12,1,11
"4119","Q08462",4,0,4
"4120","Q08493",5,0,5
"4121","Q08499",15,12,3
"4122","Q08554",11,0,11
"4123","Q08629",1,0,1
"4124","Q08722",2,0,2
"4125","Q08752",5,0,5
"4126","Q08828",2,0,2
"4127","Q08830",6,0,6
"4128","Q08881",4,2,2
"4129","Q08945",3,0,3
"4130","Q08999",6,0,6
"4131","Q08AE8",1,0,1
"4132","Q08AF3",8,0,8
"4133","Q08AG5",11,0,11
"4134","Q08AH1",12,0,12
"4135","Q08AI6",7,0,7
"4136","Q08AI8",2,0,2
"4137","Q08AM6",8,3,5
"4138","Q08AN1",8,0,8
"4139","Q08ER8",7,0,7
"4140","Q08ET2",8,0,8
"4141","Q08J23",3,1,2
"4142","Q09013",5,0,5
"4143","Q09161",2,0,2
"4144","Q09328",2,0,2
"4145","Q09428",6,0,6
"4146","Q09470",33,30,3
"4147","Q09472",18,7,11
"4148","Q09666",65,0,65
"4149","Q09MP3",18,0,18
"4150","Q0D2K2",2,0,2
"4151","Q0IIM8",6,2,4
"4152","Q0IIN9",2,0,2
"4153","Q0JRZ9",2,0,2
"4154","Q0P5N6",4,1,3
"4155","Q0P6D2",4,0,4
"4156","Q0P6D6",8,0,8
"4157","Q0VAF6",1,0,1
"4158","Q0VAK6",7,0,7
"4159","Q0VAM2",3,0,3
"4160","Q0VD86",1,0,1
"4161","Q0VDE8",1,0,1
"4162","Q0VDF9",2,0,2
"4163","Q0VDG4",7,0,7
"4164","Q0VF96",19,0,19
"4165","Q0VFZ6",4,0,4
"4166","Q0VG06",2,0,2
"4167","Q0VG99",2,0,2
"4168","Q0VGE8",9,0,9
"4169","Q0Z7S8",4,0,4
"4170","Q0ZGT2",9,5,4
"4171","Q0ZLH3",9,5,4
"4172","Q10469",5,4,1
"4173","Q10471",2,2,0
"4174","Q10472",2,0,2
"4175","Q10571",3,0,3
"4176","Q10588",2,0,2
"4177","Q10589",2,0,2
"4178","Q10713",7,5,2
"4179","Q11130",3,0,3
"4180","Q12767",9,0,9
"4181","Q12768",13,7,6
"4182","Q12769",2,0,2
"4183","Q12770",5,0,5
"4184","Q12772",5,0,5
"4185","Q12774",11,0,11
"4186","Q12778",1,0,1
"4187","Q12788",6,0,6
"4188","Q12789",6,1,5
"4189","Q12791",6,6,0
"4190","Q12794",3,1,2
"4191","Q12797",8,1,7
"4192","Q12798",3,0,3
"4193","Q12805",2,2,0
"4194","Q12809",461,434,27
"4195","Q12815",3,0,3
"4196","Q12816",5,0,5
"4197","Q12829",1,0,1
"4198","Q12836",13,0,13
"4199","Q12840",30,28,2
"4200","Q12841",3,0,3
"4201","Q12849",1,0,1
"4202","Q12851",2,0,2
"4203","Q12864",11,0,11
"4204","Q12866",22,15,7
"4205","Q12879",52,48,4
"4206","Q12882",33,24,9
"4207","Q12884",2,0,2
"4208","Q12887",13,9,4
"4209","Q12889",7,0,7
"4210","Q12891",1,0,1
"4211","Q12893",1,0,1
"4212","Q12894",4,0,4
"4213","Q12899",5,0,5
"4214","Q12904",4,0,4
"4215","Q12907",2,0,2
"4216","Q12908",2,2,0
"4217","Q12913",6,0,6
"4218","Q12918",5,0,5
"4219","Q12929",2,0,2
"4220","Q12931",8,0,8
"4221","Q12933",5,0,5
"4222","Q12934",8,1,7
"4223","Q12946",8,5,3
"4224","Q12948",31,30,1
"4225","Q12950",4,1,3
"4226","Q12951",8,4,4
"4227","Q12952",2,0,2
"4228","Q12955",20,1,19
"4229","Q12962",2,0,2
"4230","Q12965",6,2,4
"4231","Q12967",1,1,0
"4232","Q12968",5,0,5
"4233","Q12972",1,0,1
"4234","Q12979",2,0,2
"4235","Q12980",3,3,0
"4236","Q12981",4,0,4
"4237","Q12986",4,0,4
"4238","Q12988",3,1,2
"4239","Q13002",5,0,5
"4240","Q13003",3,0,3
"4241","Q13009",6,0,6
"4242","Q13017",7,0,7
"4243","Q13018",11,0,11
"4244","Q13023",15,0,15
"4245","Q13029",11,0,11
"4246","Q13033",1,0,1
"4247","Q13045",7,0,7
"4248","Q13049",3,3,0
"4249","Q13061",10,1,9
"4250","Q13064",5,3,2
"4251","Q13075",1,0,1
"4252","Q13084",5,0,5
"4253","Q13087",4,0,4
"4254","Q13093",9,2,7
"4255","Q13094",1,0,1
"4256","Q13103",3,0,3
"4257","Q13106",6,0,6
"4258","Q13107",1,0,1
"4259","Q13112",7,0,7
"4260","Q13113",2,0,2
"4261","Q13114",5,0,5
"4262","Q13115",1,0,1
"4263","Q13118",6,5,1
"4264","Q13127",14,1,13
"4265","Q13129",9,0,9
"4266","Q13133",2,0,2
"4267","Q13144",84,75,9
"4268","Q13148",47,46,1
"4269","Q13155",3,0,3
"4270","Q13158",2,2,0
"4271","Q13162",2,0,2
"4272","Q13163",2,0,2
"4273","Q13164",4,0,4
"4274","Q13177",1,0,1
"4275","Q13190",1,0,1
"4276","Q13200",1,0,1
"4277","Q13201",11,0,11
"4278","Q13202",2,0,2
"4279","Q13203",5,0,5
"4280","Q13206",3,0,3
"4281","Q13207",4,2,2
"4282","Q13216",17,13,4
"4283","Q13219",9,0,9
"4284","Q13224",56,51,5
"4285","Q13231",12,0,12
"4286","Q13233",9,7,2
"4287","Q13242",1,0,1
"4288","Q13243",1,0,1
"4289","Q13253",27,25,2
"4290","Q13255",9,7,2
"4291","Q13258",1,0,1
"4292","Q13263",1,0,1
"4293","Q13275",4,0,4
"4294","Q13277",2,0,2
"4295","Q13285",47,44,3
"4296","Q13286",18,17,1
"4297","Q13287",2,0,2
"4298","Q13291",4,0,4
"4299","Q13304",4,0,4
"4300","Q13315",149,140,9
"4301","Q13316",2,0,2
"4302","Q13319",1,0,1
"4303","Q13322",2,0,2
"4304","Q13323",2,0,2
"4305","Q13325",6,0,6
"4306","Q13326",11,11,0
"4307","Q13330",1,0,1
"4308","Q13332",5,0,5
"4309","Q13342",10,0,10
"4310","Q13349",5,0,5
"4311","Q13351",3,2,1
"4312","Q13360",3,0,3
"4313","Q13361",3,1,2
"4314","Q13363",3,0,3
"4315","Q13367",3,0,3
"4316","Q13368",3,0,3
"4317","Q13370",11,0,11
"4318","Q13371",2,0,2
"4319","Q13393",11,3,8
"4320","Q13395",11,0,11
